user_sector_i,A01,RUP,RMID,ELEC_CIT,TEQ
A01,0.5,0.5,0.5,0.5,0.5
RUP,0.5,0.5,0.5,0.5,0.5
RMID,0.5,0.5,0.5,0.5,0.5
ELEC_CIT,0.5,0.5,0.5,0.5,0.5
TEQ,0.5,0.5,0.5,0.5,0.5
